City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,natal,-5.795,-35.2094,25.36,78,20,2.57,BR,1697591388
117,aktau,43.65,51.2,7.32,61,95,3.76,KZ,1697591388
118,bengkulu,-3.8004,102.2655,25.47,82,90,1.14,ID,1697591388
119,itoman,26.1247,127.6694,27.43,54,20,3.6,JP,1697591389
120,labytnangi,66.6572,66.4183,1.44,100,100,1.71,RU,1697591389
121,tazovsky,67.4667,78.7,4.65,97,100,5.91,RU,1697591389
122,namibe,-15.1961,12.1522,17.28,82,74,0.92,AO,1697591389
123,bethel,41.3712,-73.414,12.74,84,100,1.54,US,1697591389
124,kagoro,9.6,8.3833,20.61,90,100,1.58,NG,1697591390
125,nizhniy kuranakh,58.8353,125.4869,0.95,92,100,3.68,RU,1697591390
126,reynosa,26.0833,-98.2833,24.01,36,20,2.06,MX,1697591390
127,hermanus,-34.4187,19.2345,15.58,92,0,3.01,ZA,1697591126
128,buka,40.8108,69.1986,14.31,30,100,0.87,UZ,1697591390
129,tual,-5.6667,132.75,26.85,75,64,7.84,ID,1697591391
130,alto araguaia,-17.3147,-53.2153,27.84,42,52,2.13,BR,1697591391
131,atyashevo,54.5644,46.0691,2.02,95,99,7.64,RU,1697591391
132,yetkul',54.8221,61.588,8.84,59,100,4.04,RU,1697591391
133,williams lake,52.1415,-122.1445,11.7,57,100,3.58,CA,1697591392
134,vilyuchinsk,52.9306,158.4028,7.18,96,100,2.55,RU,1697591392
135,dongola,19.1667,30.4833,24.7,20,1,6.37,SD,1697591392
136,bilibino,68.0546,166.4372,-15.02,94,100,1.72,RU,1697591392
137,iskateley,67.6803,53.1512,1.12,89,100,4.02,RU,1697591392
138,kenai,60.5544,-151.2583,11.05,54,40,4.12,US,1697591393
139,markovo,57.3206,107.0881,0.82,85,100,2.03,RU,1697591393
140,aral,40.5156,81.2636,11.44,33,97,2.94,CN,1697591393
141,sitka,57.0531,-135.33,13.94,58,100,7.72,US,1697591394
142,waspan,14.7419,-83.9717,23.71,96,100,3.13,NI,1697591394
143,papatowai,-46.5619,169.4708,15.46,54,74,7.83,NZ,1697591394
144,slavsk,55.0425,21.677,10.32,74,100,7.16,RU,1697591394
145,kayangel,8.0823,134.7173,27.96,75,78,0.28,PW,1697591394
146,gadzhiyevo,69.2551,33.3362,2.32,70,100,5.45,RU,1697591395
147,basoko,1.2391,23.616,21.67,93,100,0.81,CD,1697591395
148,vadso,70.0744,29.7487,1.49,86,100,7.2,NO,1697591395
149,kingston,17.997,-76.7936,27.36,91,19,0.9,JM,1697591314
150,dudinka,69.4058,86.1778,-0.18,98,100,2.68,RU,1697591395
151,qianzhou,28.3167,109.7167,20.9,63,83,0.36,CN,1697591396
152,baiti,13.745,-14.7482,27.07,71,1,2.63,SN,1697591396
153,prineville,44.2999,-120.8345,20.62,39,0,0.0,US,1697591396
154,stanley,54.868,-1.6985,9.87,89,40,3.6,GB,1697591396
155,vorgashor,67.5833,63.95,1.79,97,100,4.66,RU,1697591396
156,la passe,45.5549,-0.8967,19.43,80,72,10.0,FR,1697591397
157,utrik,11.2278,169.8474,28.02,80,95,8.0,MH,1697591397
158,wailua homesteads,22.0669,-159.378,27.44,69,75,3.6,US,1697591397
159,sarajevo,43.8486,18.3564,2.95,93,0,1.03,BA,1697591397
160,peace river,56.2501,-117.286,12.17,71,20,3.09,CA,1697591146
161,punta arenas,-53.15,-70.9167,9.06,71,75,6.17,CL,1697591398
162,avarua,-21.2078,-159.775,26.03,57,53,3.6,CK,1697591398
163,minas de marcona,-15.2119,-75.1103,15.31,85,85,4.88,PE,1697591398
164,sandnessjoen,66.0217,12.6316,-1.71,64,47,7.94,NO,1697591398
165,ribeira grande,38.5167,-28.7,22.1,96,100,8.05,PT,1697591155
166,san patricio,28.017,-97.5169,21.02,44,0,3.69,US,1697591399
167,al kharijah,25.4514,30.5464,21.0,43,0,3.25,EG,1697591399
168,yaren,-0.5472,166.916,28.23,78,100,8.86,NR,1697591399
169,fomboni,-12.28,43.7425,26.11,77,100,7.69,KM,1697591399
170,as sulayyil,20.4607,45.5779,23.14,19,0,2.79,SA,1697591399
171,stephenville,32.2207,-98.2023,20.44,39,0,3.09,US,1697591400
172,port mathurin,-19.6833,63.4167,23.73,80,19,3.96,MU,1697591400
173,boke,10.9409,-14.2967,24.54,91,96,0.9,GN,1697591400
174,remire-montjoly,4.9167,-52.2667,25.02,88,0,0.0,GF,1697591401
175,east london,-33.0153,27.9116,16.45,80,0,6.64,ZA,1697591249
176,takoradi,4.8845,-1.7554,24.29,91,90,2.47,GH,1697591401
177,callao,-12.0667,-77.15,20.95,82,75,6.17,PE,1697591402
178,touros,-5.1989,-35.4608,25.43,76,13,7.2,BR,1697591275
179,tobelo,1.7284,128.0095,28.86,72,18,1.84,ID,1697591402
180,thompson,55.7435,-97.8558,7.44,85,88,2.03,CA,1697591261
181,arkhangel'sk,64.5401,40.5433,3.96,78,100,4.42,RU,1697591402
182,saint-denis,48.9167,2.3333,11.88,79,0,5.14,FR,1697591403
183,aldinga beach,-35.2793,138.4604,25.98,38,0,2.49,AU,1697591130
184,keflavik,64.0049,-22.5624,10.24,93,100,16.46,IS,1697591403
185,marsh harbour,26.5412,-77.0636,24.39,56,41,3.91,BS,1697591111
186,flin flon,54.7682,-101.865,9.35,66,100,1.95,CA,1697591404
187,howard springs,-12.497,131.047,33.79,29,6,1.55,AU,1697591404
188,ribas do rio pardo,-20.4431,-53.7592,28.42,44,46,1.2,BR,1697591404
189,port lincoln,-34.7333,135.8667,20.84,44,0,3.68,AU,1697591404
190,chonchi,-42.6128,-73.8092,9.56,95,28,1.37,CL,1697591405
191,alaghsas,17.0187,8.0168,29.61,16,100,4.88,NE,1697591405
192,berezovo,63.9381,65.0419,6.65,85,100,5.36,RU,1697591405
193,leticia,-4.2153,-69.9406,26.03,89,20,0.0,CO,1697591405
194,twon-brass,4.3151,6.2418,26.1,86,100,3.65,NG,1697591406
195,lubang,13.8584,120.124,28.16,78,45,9.26,PH,1697591406
196,novyy urgal,51.0736,132.5642,6.66,61,92,1.22,RU,1697591406
197,mathba,22.2855,89.9629,23.93,80,4,1.57,BD,1697591407
198,saint-joseph,-21.3667,55.6167,22.21,80,100,1.16,RE,1697591407
199,kotlas,61.2611,46.6556,3.36,97,100,4.92,RU,1697591407
200,dubbo,-32.25,148.6167,21.07,37,0,6.17,AU,1697591190
201,amga,60.8953,131.9608,-3.34,52,100,3.13,RU,1697591407
202,fortuna,40.5982,-124.1573,16.19,92,0,5.14,US,1697591315
203,dolores,-36.3132,-57.6792,6.06,64,0,3.49,AR,1697591408
204,constantia,44.1833,28.65,11.5,65,100,3.4,RO,1697591408
205,beau vallon,-20.4189,57.6953,24.01,90,27,2.72,MU,1697591408
206,selfoss,63.9331,-20.9971,9.47,85,100,11.94,IS,1697591408
207,puerto armuelles,8.2833,-82.8667,26.16,78,100,3.13,PA,1697591409
208,heinola,61.2056,26.0381,0.0,82,60,2.14,FI,1697591409
209,waynesville,35.4887,-82.9887,8.92,85,11,0.45,US,1697591164
210,rongelap,11.1635,166.8941,28.18,76,9,5.76,MH,1697591410
211,nuuk,64.1835,-51.7216,-4.66,63,0,7.72,GL,1697591136
212,kerikeri,-35.2268,173.9474,19.95,87,100,1.34,NZ,1697591410
213,chadron,42.8294,-102.9999,13.86,72,0,0.0,US,1697591410
214,sorong,-0.8833,131.25,27.51,80,10,2.59,ID,1697591387
215,kavaratti,10.5669,72.642,27.91,75,72,1.96,IN,1697591411
